      R       THETA       E_CP
    4.9000   10.0000   -78.706789283663
    4.9000   15.0000   -78.706788421743
    4.9000   20.0000   -78.706787451646
    4.9000   25.0000   -78.706786462021
    4.9000   30.0000   -78.706785491493
    4.9000   35.0000   -78.706784495807
    4.9000   40.0000   -78.706783476659
    4.9000   45.0000   -78.706782438819
    4.9000   50.0000   -78.706781405424
    4.9000   55.0000   -78.706780407667
    4.9000   60.0000   -78.706779478164
    4.9000   65.0000   -78.706778646880
    4.9000   70.0000   -78.706777940631
    4.9000   75.0000   -78.706777379174
    4.9000   80.0000   -78.706776974768
    4.9000   85.0000   -78.706776732102
    4.9000   90.0000   -78.706776651618
    5.0000   0.0000   -78.706785168903
    5.0000   5.0000   -78.706785003941
    5.0000   10.0000   -78.706784546739
    5.0000   15.0000   -78.706783904072
    5.0000   20.0000   -78.706783140746
    5.0000   25.0000   -78.706782335812
    5.0000   30.0000   -78.706781509638
    5.0000   35.0000   -78.706780658649
    5.0000   40.0000   -78.706779778643
    5.0000   45.0000   -78.706778878230
    5.0000   50.0000   -78.706777980547
    5.0000   55.0000   -78.706777113923
    5.0000   60.0000   -78.706776306995
    5.0000   65.0000   -78.706775585304
    5.0000   70.0000   -78.706774970593
    5.0000   75.0000   -78.706774479418
    5.0000   80.0000   -78.706774123252
    5.0000   85.0000   -78.706773908104
    5.0000   90.0000   -78.706773836182
    5.1000   0.0000   -78.706780942320
    5.1000   5.0000   -78.706780834873
    5.1000   10.0000   -78.706780491037
    5.1000   15.0000   -78.706779985298
    5.1000   20.0000   -78.706779381662
    5.1000   25.0000   -78.706778723884
    5.1000   30.0000   -78.706778029802
    5.1000   35.0000   -78.706777301609
    5.1000   40.0000   -78.706776541851
    5.1000   45.0000   -78.706775762318
    5.1000   50.0000   -78.706774984729
    5.1000   60.0000   -78.706773536223
    5.1000   65.0000   -78.706772910894
    5.1000   70.0000   -78.706772376691
    5.1000   75.0000   -78.706771947846
    5.1000   80.0000   -78.706771635032
    5.1000   85.0000   -78.706771444992
    5.1000   90.0000   -78.706771381468
    5.2000   0.0000   -78.706777355053
    5.2000   5.0000   -78.706777262710
    5.2000   10.0000   -78.706777001124
    5.2000   15.0000   -78.706776607999
    5.2000   20.0000   -78.706776125379
    5.2000   25.0000   -78.706775583632
    5.2000   30.0000   -78.706774997622
    5.2000   35.0000   -78.706774373535
    5.2000   45.0000   -78.706773043785
    5.2000   50.0000   -78.706772371846
    5.2000   55.0000   -78.706771723762
    5.2000   60.0000   -78.706771119941
    5.2000   65.0000   -78.706770578400
    5.2000   70.0000   -78.706770114420
    5.2000   75.0000   -78.706769740486
    5.2000   80.0000   -78.706769466589
    5.2000   85.0000   -78.706769299612
    5.2000   90.0000   -78.706769243661
    5.3000   0.0000   -78.706774281925
    5.3000   5.0000   -78.706774211132
    5.3000   10.0000   -78.706774008407
    5.3000   15.0000   -78.706773697903
    5.3000   20.0000   -78.706773306928
    5.3000   25.0000   -78.706772856639
    5.3000   30.0000   -78.706772359533
    5.3000   35.0000   -78.706771823580
    5.3000   40.0000   -78.706771257869
    5.3000   45.0000   -78.706770676064
    5.3000   50.0000   -78.706770095996
    5.3000   55.0000   -78.706769536059
    5.3000   60.0000   -78.706769014045
    5.3000   65.0000   -78.706768545250
    5.3000   70.0000   -78.706768142580
    5.3000   75.0000   -78.706767817019
    5.3000   80.0000   -78.706767577840
    5.3000   85.0000   -78.706767431609
    5.3000   90.0000   -78.706767382425
    5.4000   0.0000   -78.706771653155
    5.4000   5.0000   -78.706771597839
    5.4000   10.0000   -78.706771437754
    5.4000   15.0000   -78.706771187942
    5.4000   20.0000   -78.706770866705
    5.4000   25.0000   -78.706770489052
    5.4000   30.0000   -78.706770065708
    5.4000   35.0000   -78.706769605069
    5.4000   40.0000   -78.706769117402
    5.4000   45.0000   -78.706768615207
    5.4000   50.0000   -78.706768114267
    5.4000   55.0000   -78.706767630533
    5.4000   60.0000   -78.706767179118
    5.4000   65.0000   -78.706766773000
    5.4000   70.0000   -78.706766423573
    5.4000   75.0000   -78.706766140511
    5.4000   80.0000   -78.706765932131
    5.4000   85.0000   -78.706765805051
    5.4000   90.0000   -78.706765761640
    5.5000   0.0000   -78.706769396599
    5.5000   5.0000   -78.706769352209
    5.5000   10.0000   -78.706769223234
    5.5000   15.0000   -78.706769019088
    5.5000   20.0000   -78.706768752182
    5.5000   25.0000   -78.706768433205
    5.5000   30.0000   -78.706768071522
    5.5000   35.0000   -78.706767675190
    5.5000   40.0000   -78.706767254250
    5.5000   45.0000   -78.706766820821
    5.5000   50.0000   -78.706766388178
    5.5000   55.0000   -78.706765970108
    5.5000   60.0000   -78.706765579463
    5.5000   65.0000   -78.706765227598
    5.5000   70.0000   -78.706764924211
    5.5000   75.0000   -78.706764678248
    5.5000   80.0000   -78.706764496995
    5.5000   85.0000   -78.706764386047
    5.5000   90.0000   -78.706764348696
    5.6000   0.0000   -78.706767453346
    5.6000   5.0000   -78.706767417129
    5.6000   10.0000   -78.706767311271
    5.6000   15.0000   -78.706767142276
    5.6000   20.0000   -78.706766917894
    5.6000   25.0000   -78.706766646811
    5.6000   30.0000   -78.706766336403
    5.6000   35.0000   -78.706765994985
    5.6000   40.0000   -78.706765631588
    5.6000   45.0000   -78.706765257194
    5.6000   50.0000   -78.706764883421
    5.6000   55.0000   -78.706764521786
    5.6000   60.0000   -78.706764183459
    5.6000   65.0000   -78.706763878368
    5.6000   70.0000   -78.706763615208
    5.6000   75.0000   -78.706763401512
    5.6000   80.0000   -78.706763244530
    5.6000   85.0000   -78.706763149234
    5.6000   90.0000   -78.706763115421
    5.7000   0.0000   -78.706765773624
    5.7000   5.0000   -78.706765743402
    5.7000   10.0000   -78.706765655576
    5.7000   15.0000   -78.706765513530
    5.7000   20.0000   -78.706765323506
    5.7000   25.0000   -78.706765092034
    5.7000   30.0000   -78.706764825401
    5.7000   35.0000   -78.706764531397
    5.7000   40.0000   -78.706764217779
