R	phi	theta2	theta1	E
2.90	0	0	90	-152.260276778475
2.90	0	0	120	-152.364987567356
2.90	0	0	150	-152.322678489388
2.90	0	0	180	-151.540324984227
2.90	0	30	0	-151.911556622008
2.90	0	30	30	-152.332997788879
2.90	0	30	60	-152.366331025834
2.90	0	30	90	-152.260653771606
2.90	0	30	120	-152.364310764247
2.90	0	30	150	-152.323846635858
2.90	0	30	180	-151.911556622182
2.90	0	60	0	-152.226066856395
2.90	0	60	30	-152.341684931593
2.90	0	60	60	-152.367083630998
2.90	0	60	90	-152.261300654143
2.90	0	60	120	-152.365170936844
2.90	0	60	150	-152.336382337276
2.90	0	60	180	-152.226066856835
2.90	0	90	0	-152.312590649926
2.90	0	90	30	-152.343762118069
2.90	0	90	60	-152.366590947434
2.90	0	90	90	-152.26157525389
2.90	0	90	120	-152.366590947149
2.90	0	90	150	-152.343762118109
2.90	0	90	180	-152.312590649388
2.90	30	0	0	-151.540324983977
2.90	30	0	30	-152.322681327088
2.90	30	0	60	-152.36499854388
2.90	30	0	90	-152.260247243514
2.90	30	0	120	-152.364998543601
2.90	30	0	150	-152.322681326092
2.90	30	0	180	-151.540324984227
2.90	30	30	0	-151.911556622008
2.90	30	30	30	-152.332117908776
2.90	30	30	60	-152.366278397223
2.90	30	30	90	-152.260585534039
2.90	30	30	120	-152.364566838535
2.90	30	30	150	-152.324169116606
2.90	30	30	180	-151.911556622183
2.90	30	60	0	-152.226066856394
2.90	30	60	30	-152.340417290884
2.90	30	60	60	-152.367124754279
2.90	30	60	90	-152.261164533473
2.90	30	60	120	-152.365568216636
2.90	30	60	150	-152.33567116907
2.90	30	60	180	-152.226066856834
2.90	30	90	0	-152.312590649926
2.90	30	90	30	-152.342271404493
2.90	30	90	60	-152.366829315899
2.90	30	90	90	-152.261408036075
2.90	30	90	120	-152.366829315338
2.90	30	90	150	-152.342271404564
2.90	30	90	180	-152.312590649388
2.90	60	0	0	-151.540324983977
2.90	60	0	30	-152.322680946238
2.90	60	0	60	-152.364993875328
2.90	60	0	90	-152.260290518979
2.90	60	0	120	-152.364993876264
2.90	60	0	150	-152.322680946176
2.90	60	0	180	-151.540324984227
2.90	60	30	0	-151.911556622007
2.90	60	30	30	-152.329738347176
2.90	60	30	60	-152.366061249103
2.90	60	30	90	-152.260552362313
2.90	60	30	120	-152.365111086853
2.90	60	30	150	-152.32508887211
2.90	60	30	180	-151.911556622182
2.90	60	60	0	-152.226066856395
2.90	60	60	30	-152.337489061144
2.90	60	60	60	-152.367102817973
2.90	60	60	90	-152.260996050932
2.90	60	60	120	-152.366289453717
2.90	60	60	150	-152.334067982828
2.90	60	60	180	-152.226066856835
2.90	60	90	0	-152.312590649926
2.90	60	90	30	-152.33950519027
2.90	60	90	60	-152.367210371853
2.90	60	90	90	-152.261181854601
2.90	60	90	120	-152.367210371814
2.90	60	90	150	-152.339505191551
2.90	60	90	180	-152.312590649388
2.90	90	0	0	-151.540324983977
2.90	90	0	30	-152.322681761429
2.90	90	0	60	-152.36499601721
