	0	1	2
252	5.2000000000	15.0000000000	-5.1886754456
1299	4.9000000000	85.0000000000	-5.1763600667
626	5.1000000000	40.0000000000	-5.1678244784
1374	4.9000000000	90.0000000000	-5.1584748607
925	5.0000000000	60.0000000000	-5.1012742851
327	5.2000000000	20.0000000000	-5.0966462227
701	5.1000000000	45.0000000000	-4.9970124221
402	5.2000000000	25.0000000000	-4.9846952873
835	3.5000000000	55.0000000000	-4.9517758476
1000	5.0000000000	65.0000000000	-4.9497680945
477	5.2000000000	30.0000000000	-4.8569274747
776	5.1000000000	50.0000000000	-4.8292554529
1075	5.0000000000	70.0000000000	-4.8205188251
552	5.2000000000	35.0000000000	-4.7178139186
1150	5.0000000000	75.0000000000	-4.7166327018
28	5.3000000000	0.0000000000	-4.6894117042
103	5.3000000000	5.0000000000	-4.6771424168
851	5.1000000000	55.0000000000	-4.6693723523
178	5.3000000000	10.0000000000	-4.6408393365
1225	5.0000000000	80.0000000000	-4.6405579692
1300	5.0000000000	85.0000000000	-4.5941557662
253	5.3000000000	15.0000000000	-4.5819657056
1375	5.0000000000	90.0000000000	-4.5785535331
627	5.2000000000	40.0000000000	-4.5720230655
926	5.1000000000	60.0000000000	-4.5216769013
328	5.3000000000	20.0000000000	-4.5028282009
1359	3.4000000000	90.0000000000	-4.4846089552
702	5.2000000000	45.0000000000	-4.4242075609
403	5.3000000000	25.0000000000	-4.4064255070
1001	5.1000000000	65.0000000000	-4.3900026574
478	5.3000000000	30.0000000000	-4.2962472671
777	5.2000000000	50.0000000000	-4.2788501724
1076	5.1000000000	70.0000000000	-4.2775721722
1284	3.4000000000	85.0000000000	-4.2756245551
1151	5.1000000000	75.0000000000	-4.1871361134
553	5.3000000000	35.0000000000	-4.1761068564
29	5.4000000000	0.0000000000	-4.1453714076
852	5.2000000000	55.0000000000	-4.1401665660
104	5.4000000000	5.0000000000	-4.1348129238
1226	5.1000000000	80.0000000000	-4.1208745296
179	5.4000000000	10.0000000000	-4.1035568800
1301	5.1000000000	85.0000000000	-4.0804468620
1376	5.1000000000	90.0000000000	-4.0668521637
254	5.4000000000	15.0000000000	-4.0528481474
628	5.3000000000	40.0000000000	-4.0500237264
927	5.2000000000	60.0000000000	-4.0119123980
329	5.4000000000	20.0000000000	-3.9846233612
703	5.3000000000	45.0000000000	-3.9220228305
404	5.4000000000	25.0000000000	-3.9014251385
