      R       THETA       E_CP
    5.7000   85.0000   -78.703915185097
    5.7000   90.0000   -78.703915164532
    5.8000   0.0000   -78.703918189683
    5.8000   5.0000   -78.703918147361
    5.8000   10.0000   -78.703918021475
    5.8000   15.0000   -78.703917820029
    5.8000   20.0000   -78.703917556579
    5.8000   25.0000   -78.703917244194
    5.8000   30.0000   -78.703916898845
    5.8000   35.0000   -78.703916538532
    5.8000   40.0000   -78.703916176957
    5.8000   45.0000   -78.703915827334
    5.8000   50.0000   -78.703915500879
    5.8000   55.0000   -78.703915203176
    5.8000   60.0000   -78.703914941213
    5.8000   65.0000   -78.703914722376
    5.8000   70.0000   -78.703914545627
    5.8000   75.0000   -78.703914408403
    5.8000   80.0000   -78.703914311071
    5.8000   85.0000   -78.703914255533
    5.8000   90.0000   -78.703914237403
    5.9000   0.0000   -78.703916937537
    5.9000   5.0000   -78.703916899853
    5.9000   10.0000   -78.703916790074
    5.9000   15.0000   -78.703916613723
    5.9000   20.0000   -78.703916381253
    5.9000   25.0000   -78.703916104326
    5.9000   30.0000   -78.703915797051
    5.9000   35.0000   -78.703915477473
    5.9000   40.0000   -78.703915155802
    5.9000   45.0000   -78.703914841557
    5.9000   50.0000   -78.703914548309
    5.9000   55.0000   -78.703914282878
    5.9000   60.0000   -78.703914050138
    5.9000   65.0000   -78.703913854370
    5.9000   70.0000   -78.703913693887
    5.9000   75.0000   -78.703913571066
    5.9000   80.0000   -78.703913487064
    5.9000   85.0000   -78.703913434971
    5.9000   90.0000   -78.703913418491
    6.0000   0.0000   -78.703915840975
    6.0000   5.0000   -78.703915807891
    6.0000   10.0000   -78.703915710370
    6.0000   15.0000   -78.703915554730
    6.0000   20.0000   -78.703915346740
    6.0000   25.0000   -78.703915099310
    6.0000   30.0000   -78.703914828250
    6.0000   35.0000   -78.703914541604
    6.0000   40.0000   -78.703914253247
    6.0000   45.0000   -78.703913974871
    6.0000   50.0000   -78.703913710045
    6.0000   55.0000   -78.703913471829
    6.0000   60.0000   -78.703913262540
    6.0000   65.0000   -78.703913086076
    6.0000   70.0000   -78.703912942072
    6.0000   75.0000   -78.703912831439
    6.0000   80.0000   -78.703912754646
    6.0000   85.0000   -78.703912707517
    6.0000   90.0000   -78.703912692444
    6.2000   0.0000   -78.703914018302
    6.2000   5.0000   -78.703913991409
    6.2000   10.0000   -78.703913914212
    6.2000   15.0000   -78.703913790005
    6.2000   20.0000   -78.703913626739
    6.2000   25.0000   -78.703913433604
    6.2000   30.0000   -78.703913214997
    6.2000   35.0000   -78.703912983374
    6.2000   40.0000   -78.703912749502
    6.2000   45.0000   -78.703912521142
    6.2000   50.0000   -78.703912306857
    6.2000   55.0000   -78.703912114009
    6.2000   60.0000   -78.703911943890
    6.2000   65.0000   -78.703911798621
    6.2000   70.0000   -78.703911681141
    6.2000   75.0000   -78.703911590010
    6.2000   80.0000   -78.703911525124
    6.2000   85.0000   -78.703911486480
    6.2000   90.0000   -78.703911474720
    6.4000   0.0000   -78.703912584038
    6.4000   5.0000   -78.703912563188
    6.4000   10.0000   -78.703912502296
    6.4000   15.0000   -78.703912403235
    6.4000   20.0000   -78.703912274328
    6.4000   25.0000   -78.703912116731
    6.4000   30.0000   -78.703911941053
    6.4000   35.0000   -78.703911751456
    6.4000   40.0000   -78.703911563186
    6.4000   45.0000   -78.703911378297
    6.4000   50.0000   -78.703911202388
    6.4000   55.0000   -78.703911041270
    6.4000   60.0000   -78.703910898728
    6.4000   65.0000   -78.703910777883
    6.4000   70.0000   -78.703910679334
    6.4000   75.0000   -78.703910602175
    6.4000   80.0000   -78.703910548000
    6.4000   85.0000   -78.703910516058
    6.4000   90.0000   -78.703910504698
    6.6000   0.0000   -78.703911453280
    6.6000   5.0000   -78.703911436228
    6.6000   10.0000   -78.703911387211
    6.6000   15.0000   -78.703911307858
    6.6000   20.0000   -78.703911202067
    6.6000   25.0000   -78.703911074795
    6.6000   30.0000   -78.703910930044
    6.6000   35.0000   -78.703910774180
    6.6000   40.0000   -78.703910618257
    6.6000   45.0000   -78.703910464867
    6.6000   50.0000   -78.703910316022
