R,phi,th2,th1,E_cm
3.0,30.0,30.0,0.0,371.32569896322565
3.1,30.0,30.0,0.0,272.63381519006225
3.2,30.0,30.0,0.0,186.4935340719513
3.3,30.0,30.0,0.0,118.15632427841001
3.4,30.0,30.0,0.0,64.57813612317781
3.5,30.0,30.0,0.0,26.703090640233523
3.6,30.0,30.0,0.0,0.7110282301010464
3.7,30.0,30.0,0.0,-16.066367481633236
3.8,30.0,30.0,0.0,-26.00453032610106
3.9,30.0,30.0,0.0,-31.223483833705885
4.0,30.0,30.0,0.0,-33.042898885919925
4.1,30.0,30.0,0.0,-34.09917343860617
4.2,30.0,30.0,0.0,-32.214782918169064
4.3,30.0,30.0,0.0,-30.31504585703447
4.4,30.0,30.0,0.0,-26.87670889673486
4.5,30.0,30.0,0.0,-23.810120479123867
4.6,30.0,30.0,0.0,-19.001544586793376
4.7,30.0,30.0,0.0,-18.09123866273651
4.8,30.0,30.0,0.0,-15.590594987326892
4.9,30.0,30.0,0.0,-13.364660463879288
5.0,30.0,30.0,0.0,-11.409874774222404
5.1,30.0,30.0,0.0,-9.665538919598008
5.2,30.0,30.0,0.0,-8.2094439254907
5.3,30.0,30.0,0.0,-6.957412489633934
5.4,30.0,30.0,0.0,-5.8854167513298785
5.5,30.0,30.0,0.0,-4.970567262677964
5.6,30.0,30.0,0.0,-4.1916730908399655
5.7,30.0,30.0,0.0,-3.529573880317154
5.8,30.0,30.0,0.0,-2.9672645131469406
5.9,30.0,30.0,0.0,-2.489919264954388
6.0,30.0,30.0,0.0,-2.0847311274433857
6.2,30.0,30.0,0.0,-1.448705940211543
6.4,30.0,30.0,0.0,-0.9899771885988352
6.6,30.0,30.0,0.0,-0.658916609410089
6.8,30.0,30.0,0.0,-0.42001803500368357
7.0,30.0,30.0,0.0,-0.24782987289258812
7.2,30.0,30.0,0.0,-0.12407756640034294
7.4,30.0,30.0,0.0,-0.03561370807495976
7.6,30.0,30.0,0.0,0.02705485878795429
7.8,30.0,30.0,0.0,0.0708064677123889
8.0,30.0,30.0,0.0,0.10065589627917362
8.2,30.0,30.0,0.0,0.12028438950651137
8.4,30.0,30.0,0.0,0.1324105807773361
8.6,30.0,30.0,0.0,0.13905429962565663
